15,20140106,101500,33227.0000000,33600.0000000,33227.0000000,33516.0000000,89037
15,20140106,103000,33519.0000000,33522.0000000,33460.0000000,33519.0000000,76707
15,20140106,104500,33519.0000000,33530.0000000,33514.0000000,33527.0000000,17649
15,20140106,110000,33525.0000000,33546.0000000,33517.0000000,33541.0000000,26137
15,20140106,111500,33544.0000000,33564.0000000,33538.0000000,33558.0000000,21678
15,20140106,113000,33558.0000000,33604.0000000,33558.0000000,33585.0000000,39562
15,20140106,114500,33587.0000000,33618.0000000,33567.0000000,33615.0000000,30425
15,20140106,120000,33615.0000000,33617.0000000,33576.0000000,33583.0000000,18816
15,20140106,121500,33583.0000000,33584.0000000,33551.0000000,33571.0000000,23269
15,20140106,123000,33571.0000000,33587.0000000,33549.0000000,33554.0000000,13394
15,20140106,124500,33554.0000000,33559.0000000,33546.0000000,33555.0000000,9150
15,20140106,130000,33552.0000000,33570.0000000,33543.0000000,33562.0000000,18092
15,20140106,131500,33563.0000000,33576.0000000,33551.0000000,33570.0000000,24083
15,20140106,133000,33571.0000000,33581.0000000,33562.0000000,33575.0000000,9559
15,20140106,134500,33574.0000000,33576.0000000,33555.0000000,33560.0000000,6543
15,20140106,140000,33561.0000000,33563.0000000,33549.0000000,33557.0000000,4718
15,20140106,141500,33557.0000000,33568.0000000,33555.0000000,33566.0000000,5108
15,20140106,143000,33567.0000000,33567.0000000,33554.0000000,33558.0000000,2928
15,20140106,144500,33558.0000000,33563.0000000,33543.0000000,33557.0000000,11186
15,20140106,150000,33556.0000000,33558.0000000,33540.0000000,33552.0000000,12375
15,20140106,151500,33552.0000000,33566.0000000,33550.0000000,33562.0000000,8293
15,20140106,153000,33560.0000000,33590.0000000,33559.0000000,33577.0000000,14477
15,20140106,154500,33577.0000000,33595.0000000,33576.0000000,33589.0000000,12419
15,20140106,160000,33586.0000000,33590.0000000,33578.0000000,33579.0000000,4718
15,20140106,161500,33578.0000000,33593.0000000,33575.0000000,33588.0000000,7701
15,20140106,163000,33587.0000000,33600.0000000,33582.0000000,33591.0000000,6758
15,20140106,164500,33593.0000000,33595.0000000,33583.0000000,33590.0000000,5316
15,20140106,170000,33590.0000000,33639.0000000,33590.0000000,33633.0000000,39354
15,20140106,171500,33633.0000000,33646.0000000,33629.0000000,33641.0000000,13437
15,20140106,173000,33643.0000000,33658.0000000,33639.0000000,33650.0000000,12997
